grad_out_shape,x_shape,w_shape,bias,stride,padding,dilation,transposed,output_padding,groups,output_mask,out_shape,shapes
"torch.Size([64, 1280, 16, 16])","torch.Size([64, 3, 224, 224])","torch.Size([1280, 3, 14, 14])",[0],"[14, 14]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[False, True, False]","(None, torch.Size([1280, 3, 14, 14]), None)","[[[3, 64, 224, 224], [1280, 64, 16, 16], [3, 1280, 14, 14], False]]"
"torch.Size([64, 1280, 16, 16])","torch.Size([64, 3, 224, 224])","torch.Size([1280, 3, 14, 14])",[0],"[14, 14]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[False, True, False]","(None, torch.Size([1280, 3, 14, 14]), None)","[[[3, 64, 224, 224], [1280, 64, 16, 16], [3, 1280, 14, 14], False]]"
"torch.Size([64, 1280, 16, 16])","torch.Size([64, 3, 224, 224])","torch.Size([1280, 3, 14, 14])",[0],"[14, 14]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[False, True, False]","(None, torch.Size([1280, 3, 14, 14]), None)","[[[3, 64, 224, 224], [1280, 64, 16, 16], [3, 1280, 14, 14], False]]"
"torch.Size([64, 1280, 16, 16])","torch.Size([64, 3, 224, 224])","torch.Size([1280, 3, 14, 14])",[0],"[14, 14]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[False, True, False]","(None, torch.Size([1280, 3, 14, 14]), None)","[[[3, 64, 224, 224], [1280, 64, 16, 16], [3, 1280, 14, 14], False]]"
"torch.Size([64, 1280, 16, 16])","torch.Size([64, 3, 224, 224])","torch.Size([1280, 3, 14, 14])",[0],"[14, 14]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[False, True, False]","(None, torch.Size([1280, 3, 14, 14]), None)","[[[3, 64, 224, 224], [1280, 64, 16, 16], [3, 1280, 14, 14], False]]"
