llama_v3_1b,4,1024,-1,FP,False,operator-level-cost-model,484.3256348949631,2082.6504230499268
llama_v3_1b,4,2048,-1,FP,True,operator-level-cost-model,1114.0491332517856,2794.583559036255
timm_vit,64,-1,224,MP,False,operator-level-cost-model,120.63145359541916,3079.3116092681885
gemma_2b,8,1024,-1,HP,False,operator-level-cost-model,214.01694325452218,2426.2876510620117
llama_v3_1b,8,2048,-1,HP,True,operator-level-cost-model,257.2793351001572,2368.562698364258
gemma_2b,8,512,-1,MP,False,operator-level-cost-model,145.28700130312643,2205.5723667144775
llama_v3_1b,4,1024,-1,MP,False,operator-level-cost-model,85.56765847426426,1670.6247329711914
llama_v3_1b,8,2048,-1,FP,True,operator-level-cost-model,2206.638558268916,1700.2291679382324
llama_v3_1b,4,4096,-1,HP,True,operator-level-cost-model,263.27773143320684,1813.8766288757324
timm_convnext_v2,64,-1,224,HP,False,operator-level-cost-model,142.94632400191793,2989.1698360443115
hf_clip,64,20,336,MP,False,operator-level-cost-model,179.31844097236822,3376.9049644470215
llama_v3_1b,1,16384,-1,HP,True,operator-level-cost-model,290.8574427648576,1984.858512878418
gemma_2b,2,2048,-1,FP,True,operator-level-cost-model,1091.7718843408086,2117.643117904663
llama_v3_1b,2,8192,-1,HP,True,operator-level-cost-model,275.2592205483432,1712.9056453704834
llama_v3_1b,4,2048,-1,HP,True,operator-level-cost-model,134.00480151978255,1541.7776107788086
gemma_2b,2,4096,-1,HP,True,operator-level-cost-model,236.7341008934413,2210.388660430908
timm_convnext_v2,16,-1,224,FP,False,operator-level-cost-model,462.7020684211739,2195.676803588867
gemma_2b,4,1024,-1,FP,True,operator-level-cost-model,1064.802184469888,1775.418996810913
timm_vit,32,-1,224,FP,False,operator-level-cost-model,477.83326081504396,3155.756711959839
timm_vit,64,-1,224,HP,False,operator-level-cost-model,99.05278881242002,3020.876407623291
timm_vit,64,-1,224,MP,False,operator-level-cost-model,120.63145359541916,3398.463010787964
gemma_2b,4,2048,-1,HP,True,operator-level-cost-model,233.30165804073854,1813.9903545379639
timm_convnext_v2,64,-1,224,MP,False,operator-level-cost-model,210.3740430804429,2390.4757499694824
timm_convnext_v2,32,-1,224,FP,True,operator-level-cost-model,975.1747307420198,2517.191171646118
timm_convnext_v2,256,-1,224,HP,True,operator-level-cost-model,626.231660475595,2478.562593460083
timm_convnext_v2,32,-1,224,MP,False,operator-level-cost-model,110.43951707286875,1931.140422821045
hf_clip,32,20,336,FP,False,operator-level-cost-model,585.4528448963221,2934.4935417175293
timm_convnext_v2,128,-1,224,HP,True,operator-level-cost-model,315.6590206412795,2061.410665512085
timm_vit,128,-1,224,HP,True,operator-level-cost-model,242.49203388029915,3710.653305053711
hf_clip,32,20,336,FP,False,operator-level-cost-model,585.4528448963221,2227.9000282287598
timm_vit,256,-1,224,HP,True,operator-level-cost-model,480.0854770007308,2888.476848602295
timm_vit,64,-1,224,FP,True,operator-level-cost-model,1162.4680666379488,2591.7840003967285
hf_clip,64,20,336,HP,True,operator-level-cost-model,174.98292037041728,3012.6397609710693
hf_clip,128,20,336,HP,True,operator-level-cost-model,346.4768037546961,2509.8183155059814
hf_clip,64,20,336,FP,True,operator-level-cost-model,1423.7999822815457,2538.5282039642334
hf_GPT2,16,1024,-1,HP,False,operator-level-cost-model,193.0740443200634,1465.1408195495605
hf_GPT2,16,512,-1,MP,False,operator-level-cost-model,158.76579042457234,1628.6561489105225
hf_GPT2,8,1024,-1,MP,False,operator-level-cost-model,159.22390455787976,1640.6960487365723
hf_GPT2,8,4096,-1,HP,True,operator-level-cost-model,508.93053022223285,1870.1379299163818
hf_GPT2,8,2048,-1,FP,True,operator-level-cost-model,1971.735636875424,1884.2120170593262
hf_T5,1,2048,-1,HP,True,operator-level-cost-model,165.0160236861932,5841.36176109314
hf_T5,4,1024,-1,HP,False,operator-level-cost-model,187.0983270140627,3853.076934814453
hf_T5,6,512,-1,MP,False,operator-level-cost-model,115.50788550493719,3721.8446731567383
hf_T5,1,2048,-1,MP,True,operator-level-cost-model,196.5836919564982,4896.908521652222
hf_T5,2,1024,-1,FP,True,operator-level-cost-model,285.61739364227657,3978.0397415161133
hf_T5,1,2048,-1,FP,True,operator-level-cost-model,385.8334091647182,3899.9385833740234
hf_T5,1,2048,-1,HP,True,operator-level-cost-model,165.0160236861932,4279.921531677246
hf_GPT2,16,2048,-1,FP,True,operator-level-cost-model,3933.6857675269257,4182.008266448975
hf_GPT2,16,2048,-1,HP,True,operator-level-cost-model,487.2848544460124,5469.228982925415
